userId,movieId,rating,timestamp
1,1,4.0,964982703
214,1,3.0,853937855
509,1,4.0,1435992343
206,1,5.0,850763267
484,1,4.5,1342295949
249,1,4.0,1347317775
167,1,3.5,1154721923
17,1,4.5,1305696483
177,1,5.0,1435533535
380,1,5.0,1493420345
529,1,3.0,855583216
185,1,4.0,1044311830
193,1,2.0,1435856890
609,1,3.0,847221025
200,1,3.5,1229886312
456,1,5.0,856883308
307,1,4.0,1186160893
5,1,4.0,847434962
323,1,3.5,1422640363
328,1,5.0,1494210665
337,1,4.0,860255715
339,1,4.0,1460183470
476,1,4.0,835021447
275,1,5.0,1049076484
276,1,4.0,858350384
367,1,5.0,997811550
471,1,5.0,1496671820
470,1,4.0,849224825
280,1,4.5,1348435273
282,1,4.5,1378495714
283,1,3.0,901227602
359,1,4.0,1198112023
291,1,4.0,1453051567
191,1,4.0,829759809
341,1,5.0,1439750939
103,1,4.0,1431954238
54,1,3.0,830247330
590,1,4.0,1258420408
50,1,3.0,1514238116
46,1,5.0,834787906
45,1,4.0,951170182
584,1,5.0,834987643
381,1,3.5,1164383653
580,1,3.0,1167792349
112,1,3.0,1442535639
78,1,4.0,1252575124
573,1,5.0,1186722182
71,1,5.0,864737933
68,1,2.5,1158531426
76,1,0.5,1439165548
137,1,4.0,1204859907
608,1,2.5,1117408267
561,1,4.0,1491094681
153,1,2.0,1525548642
160,1,4.0,971115026
572,1,4.0,945892484
391,1,3.0,1032388077
21,2,3.5,1419795031
600,2,4.0,1237764627
284,2,4.0,832699451
604,2,5.0,832080293
458,2,4.0,845653124
62,2,4.0,1528843890
27,2,4.0,962685711
219,2,2.5,1194740185
125,2,4.0,1474311709
222,2,2.5,1391353926
186,2,4.0,1031087675
169,2,4.0,1078284713
135,2,3.0,1009692764
599,2,2.5,1498514085
82,2,3.0,1084465035
276,2,4.0,858351189
474,2,3.0,1046886814
274,2,3.5,1171934785
594,2,4.0,1109037094
476,2,4.0,835021693
477,2,4.0,1200939962
480,2,3.0,1179178191
482,2,4.5,1105395956
240,2,5.0,849122404
586,2,4.0,1529901723
107,2,5.0,829322340
359,2,3.5,1198112829
395,2,3.0,841503884
381,2,4.0,1166971855
555,3,5.0,978747454
169,3,5.0,1078284750
58,3,3.0,847719397
6,3,5.0,845554296
64,3,3.5,1161519668
151,3,3.0,855947242
552,3,1.0,1111472953
150,3,3.0,854203124
414,3,4.0,961439278
43,3,5.0,848994405
544,3,3.0,850688562
321,3,3.0,843212762
179,3,4.0,852114317
226,3,3.5,1095662861
42,3,4.0,996221045
501,3,5.0,844973817
492,3,4.0,863976005
44,3,3.0,869251910
308,3,0.5,1421374465
68,3,2.0,1158533415
288,3,4.0,975691635
100,3,3.5,1100183804
294,3,1.0,966596854
102,3,5.0,840635033
91,3,3.0,1112712323
470,3,3.0,849370396
590,3,3.0,1258416995
588,3,3.0,839317471
456,3,3.0,856883349
368,3,3.0,971273951
480,3,2.5,1179178556
599,3,1.5,1498505071
270,3,3.0,853918793
19,3,3.0,965707636
116,3,3.5,1337200325
269,3,4.0,850865480
307,3,3.5,1186161652
117,3,3.0,844163663
448,3,3.0,1019128536
477,3,3.0,1200941177
410,3,4.0,990910830
330,3,3.0,1285905545
302,3,3.0,854472084
32,3,3.0,856736172
594,3,4.0,1108798921
608,3,2.0,1117504413
337,3,4.0,860255784
217,3,1.0,955944713
1,3,4.0,964981247
262,4,1.0,840306203
162,4,3.0,836684306
14,4,3.0,835441653
84,4,3.0,858772461
600,4,1.5,1237760055
6,4,3.0,845554349
411,4,2.0,835533021
483,5,2.5,1327277284
181,5,3.0,845470124
474,5,1.5,1053021982
451,5,3.0,854089243
600,5,2.5,1237759452
58,5,4.0,847719151
353,5,3.0,831939914
489,5,2.0,1385823772
604,5,3.0,832080355
590,5,2.0,1258421220
170,5,3.0,840473290
147,5,4.5,1203267700
492,5,3.0,863976004
490,5,0.5,1324370305
45,5,3.0,959625102
414,5,2.0,961437647
68,5,2.0,1158533624
521,5,3.0,852713143
276,5,3.0,858350427
229,5,3.0,838143681
561,5,3.0,1491094488
66,5,4.0,1113190367
43,5,5.0,848994281
111,5,3.5,1517441319
470,5,3.0,849370453
321,5,3.0,843212719
107,5,4.0,829322340
103,5,4.0,1431957598
458,5,3.0,845652992
437,5,2.0,859721015
389,5,4.0,857934242
509,5,1.5,1435992893
117,5,3.0,844163754
200,5,4.0,1229876436
402,5,3.0,849598135
456,5,3.0,856883349
6,5,5.0,845553938
84,5,3.0,857653289
120,5,4.0,860070029
288,5,2.0,978622571
150,5,3.0,854203124
121,5,3.0,847656405
31,5,3.0,850466642
169,5,5.0,1078284788
501,5,3.0,844973535
270,5,3.0,853918793
337,5,4.0,860255784
269,5,3.0,850865480
602,6,3.0,840876055
438,6,5.0,1105664272
150,6,4.0,854203123
308,6,1.0,1421374400
313,6,3.0,1030556299
160,6,2.0,971115114
312,6,4.0,1043177752
561,6,4.0,1491092289
480,6,4.0,1179162163
414,6,3.0,961515642
82,6,3.5,1084467865
362,6,4.0,1530637587
282,6,4.0,1378497085
64,6,4.5,1161520752
385,6,3.0,840648313
105,6,4.0,1446773632
486,6,5.0,839537263
353,6,4.0,831939947
380,6,5.0,1494278663
